state,x,y
Alabama,138,-75
Alaska,-204,-169
Arizona,-202,-45
Arkansas,58,-53
California,-297,12
Colorado,-112,20
Connecticut,298,88
Delaware,276,35
Florida,219,-140
Georgia,186,-80
Hawaii,-306,-149
Idaho,-210,114
Illinois,96,41
Indiana,134,43
Iowa,40,69
Kansas,-23,7
Kentucky,154,-5
Louisiana,68,-122
Maine,318,167
Maryland,257,40
Massachusetts,300,103
Michigan,147,97
Minnesota,28,130
Mississippi,101,-101
Missouri,56,6
Montana,-142,161
Nebraska,-34,61
Nevada,-257,56
New Hampshire,304,130
New Jersey,283,65
New Mexico,-126,-49
New York,258,105
North Carolina,234,-23
North Dakota,-42,163
Ohio,176,53
Oklahoma,-8,-40
Oregon,-286,137
Pennsylvania,237,67
Rhode Island,314,93
South Carolina,221,-53
South Dakota,-44,113
Tennessee,138,-36
Texas,-30,-108
Utah,-190,38
Vermont,287,134
Virginia,235,12
Washington,-265,193
West Virginia,205,23
Wisconsin,82,117
Wyoming,-132,92
